fecha,ccl
2015-09-04,13.9500
2015-09-05,13.9500
2015-09-06,13.9500
2015-09-07,13.9500
2015-09-08,13.9500
2015-09-09,14.0700
2015-09-10,14.0400
2015-09-11,14.0900
2015-09-12,14.0900
2015-09-13,14.0900
2015-09-14,14.1000
2015-09-15,14.1300
2015-09-16,14.1200
2015-09-17,14.1300
2015-09-18,14.1300
2015-09-19,14.1300
2015-09-20,14.1300
2015-09-21,14.1700
2015-09-22,14.1500
2015-09-23,13.2000
2015-09-24,13.3000
2015-09-25,13.3400
2015-09-26,13.3400
2015-09-27,13.3400
2015-09-28,13.8300
2015-09-29,13.8700
2015-09-30,13.9400
2015-10-01,13.9300
2015-10-02,13.7000
2015-10-03,13.7000
2015-10-04,13.7000
2015-10-05,13.9000
2015-10-06,14.0200
2015-10-07,13.9900
2015-10-08,13.9400
2015-10-09,13.8700
2015-10-10,13.8700
2015-10-11,13.8700
2015-10-12,13.8700
2015-10-13,13.9500
2015-10-14,13.8500
2015-10-15,13.6700
2015-10-16,13.8000
2015-10-17,13.8000
2015-10-18,13.8000
2015-10-19,13.9700
2015-10-20,14.0500
2015-10-21,13.9400
2015-10-22,14.0400
2015-10-23,14.1100
2015-10-24,14.1100
2015-10-25,14.1100
2015-10-26,14.1200
2015-10-27,14.0400
2015-10-28,13.5700
2015-10-29,13.7000
2015-10-30,13.6600
2015-10-31,13.6600
2015-11-01,13.6600
2015-11-02,13.6900
2015-11-03,13.7400
2015-11-04,13.7700
2015-11-05,13.7400
2015-11-06,13.7400
2015-11-07,13.7400
2015-11-08,13.7400
2015-11-09,13.8600
2015-11-10,14.2900
2015-11-11,14.3700
2015-11-12,14.2500
2015-11-13,14.3700
2015-11-14,14.3700
2015-11-15,14.3700
2015-11-16,14.4600
2015-11-17,14.7700
2015-11-18,14.9200
2015-11-19,14.8600
2015-11-20,14.8900
2015-11-21,14.8900
2015-11-22,14.8900
2015-11-23,14.8600
2015-11-24,14.6000
2015-11-25,14.4000
2015-11-26,14.4000
2015-11-27,14.4000
2015-11-28,14.4000
2015-11-29,14.4000
2015-11-30,14.5100
2015-12-01,14.4700
2015-12-02,14.6800
